"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-01",,,"32","20"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-02",,,"32","5"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-03",,,,"0"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-04",,,"32","1"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-05",,,"10","-12"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-06",,,"-10","-33"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-07",,,"22","-12"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-08",,,"15","-3"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-09",,,"15","-8"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-10",,,"-10","-34"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-11",,,,"-43"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-12",,,"-36","-44"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-13",,,"-33","-41"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-14",,,"-24","-36"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-15",,,"-25","-35"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-16",,,"-26","-45"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-17",,,"-33","-48"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-18",,,"-35","-41"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-19",,,"-29","-35"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-20",,,"-22","-25"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-21",,,"-13","-40"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-22",,,"-13","-41"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-23",,,"13","-18"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-24",,,"18","-2"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-25",,,"7","-4"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-26",,,"8","-12"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-27",,,"23","-20"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-28",,,"-20","-39"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-29",,,"1","-37"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-30",,,"30","1"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-01-31",,,"32","23"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-01",,,"28","-15"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-02",,,"-10","-37"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-03",,,"-25","-37"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-04",,,"-24","-35"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-05",,,"-28","-48"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-06",,,"-32","-44"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-07",,,"-32","-48"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-08",,,"-28","-44"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-09",,,"-13","-30"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-10",,,"-10","-30"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-11",,,"4","-21"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-12",,,"2","-24"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-13",,,"-8","-32"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-14",,,"-8","-24"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-15",,,"8","-11"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-16",,,"13","-9"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-17",,,"6","-7"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-18",,,"13","-2"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-19",,,"20","2"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-20",,,"28","16"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-21",,,"25","-15"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-22",,,"13","-27"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-23",,,"-14","5"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-24",,,"21","5"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-25",,,"25","-27"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-26",,,"-25","-31"
"USC00508102","SAINT JOSEPHS MISSION, AK US","62.25","-163.75",,"1894-02-27",,,"-22","-34"
