STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,STATE
US1VAAR0008,"ARLINGTON 0.3 E, VA US",38.879093,-77.096732,82,VIRGINIA
US1VAPC0005,"DISPUTANTA 6.3 NE, VA US",37.1926,-77.1491,36.6,VIRGINIA
US1VALD0029,"LEESBURG 1.7 NNE, VA US",39.12896,-77.54906,98.1,VIRGINIA
US1VALD0026,"LEESBURG 2.6 E, VA US",39.098295,-77.508684,82,VIRGINIA
US1VAFX0063,"ALEXANDRIA 5.6 SSW, VA US",38.731065,-77.088951,14.9,VIRGINIA
US1VAWR0002,"FRONT ROYAL 3.1 ESE, VA US",38.90937042,-78.12980652,302.1,VIRGINIA
US1VAFX0064,"FALLS CHURCH 1.6 W, VA US",38.8875,-77.2041,141.4,VIRGINIA
USC00444148,"HUDDLESTON 4 SW, VA US",37.12587,-79.5251,273.4,VIRGINIA
USC00445595,"MILL GAP, VA US",38.30641,-79.71994,736.4,VIRGINIA
US1VAFX0060,"OAKTON 0.4 E, VA US",38.892197,-77.293236,113.7,VIRGINIA
US1VAFX0061,"VIENNA 0.8 S, VA US",38.88855743,-77.26288605,121.3,VIRGINIA
US1VASS0001,"WAKEFIELD 0.1 ENE, VA US",36.969528,-76.986457,33.8,VIRGINIA
US1VAFX0078,"BURKE 1.4 NNE, VA US",38.79729843,-77.25867462,89.6,VIRGINIA
US1VALD0017,"LEESBURG 4.4 W, VA US",39.09416667,-77.63722222,167.6,VIRGINIA
US1VALD0013,"ROUND HILL 2.7 WSW, VA US",39.122277,-77.818714,212.1,VIRGINIA
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,VIRGINIA
US1VAFX0076,"RESTON 1.8 N, VA US",38.978422,-77.346219,135.6,VIRGINIA
US1VAFX0072,"OAK HILL 0.3 WSW, VA US",38.91178,-77.41407,109.1,VIRGINIA
US1VARN0006,"ROANOKE 7.3 SSW, VA US",37.183605,-80.0169,449.9,VIRGINIA
US1VAAC0006,"ONANCOCK 3.9 SW, VA US",37.673,-75.7975,0,VIRGINIA
US1VARDC001,"RADFORD 0.9 WNW, VA US",37.130633,-80.572004,574.9,VIRGINIA
USC00446593,"PEDLAR DAM, VA US",37.6694,-79.2774,312.1,VIRGINIA
US1VAAC0007,"ONLEY 0.6 SE, VA US",37.684664,-75.710285,13.1,VIRGINIA
US1VAAC0008,"GREENBACKVILLE 0.4 WNW, VA US",38.0130771,-75.3977562,0.6,VIRGINIA
US1VAFX0040,"VIENNA 3.3 N, VA US",38.94747,-77.26375,109.4,VIRGINIA
US1VAFX0041,"MCLEAN 2.3 SE, VA US",38.91802,-77.1434,83.2,VIRGINIA
US1VAAC0010,"CHINCOTEAGUE 1.3 SSW, VA US",37.9333329,-75.3674984,0.9,VIRGINIA
US1VARN0013,"ROANOKE 5.8 SW, VA US",37.228269,-80.042944,452.6,VIRGINIA
US1VARN0017,"SALEM 3.4 WNW, VA US",37.29759,-80.11758,388,VIRGINIA
US1VARN0019,"ROANOKE 5.9 WSW, VA US",37.24002,-80.05384,471.8,VIRGINIA
USR0000VASH,"LIME KILN VIRGINIA, VA US",37.9864,-79.7594,786.4,VIRGINIA
US1VAFX0051,"VIENNA 1.3 W, VA US",38.903,-77.2836,113.1,VIRGINIA
US1VARN0020,"ROANOKE 3.4 SW, VA US",37.23881,-79.99403,363.3,VIRGINIA
US1VAFX0052,"MCLEAN 1.5 S, VA US",38.916671,-77.182188,89.9,VIRGINIA
USC00444039,"BIG ISLAND, VA US",37.5443,-79.403,274.3,VIRGINIA
US1VAHPC002,"HOPEWELL 2.0 NE, VA US",37.31015015,-77.2720871,13.1,VIRGINIA
USC00441082,"BROOKNEAL, VA US",37.0679,-78.9517,124.4,VIRGINIA
USC00448829,"WALKERTON 2 NW, VA US",37.7434,-77.04,15.2,VIRGINIA
US1VAIW0004,"SMITHFIELD 1.3 SW, VA US",36.96757,-76.6318,11,VIRGINIA
US1VAIW0005,"SMITHFIELD 6.9 NNW, VA US",37.07388889,-76.66861111,3.4,VIRGINIA
USR0000VJAM,"JAMES RIVER VIRGINIA, VA US",37.25,-77.25,15.2,VIRGINIA
USC00442044,"COVINGTON FILTER PLANT, VA US",37.81112,-79.98822,379.2,VIRGINIA
USC00448941,"WAYNESBORO WATER TREATMENT, VA US",38.0802,-78.875,387.1,VIRGINIA
USC00444101,"HOPEWELL, VA US",37.2992,-77.2775,12.2,VIRGINIA
USC00443375,"GLASGOW 1 SE, VA US",37.61838,-79.43575,224.6,VIRGINIA
US1VAHR0006,"GLEN ALLEN 4.6 W, VA US",37.65537,-77.56873,83.2,VIRGINIA
US1VASR0001,"CLAREMONT 0.2 SW, VA US",37.225004,-76.967659,32.6,VIRGINIA
USC00446999,"RADFORD 3 N, VA US",37.2008,-80.5864,548.6,VIRGINIA
US1VAHR0008,"LAUREL 0.8 N, VA US",37.645986,-77.504778,61.3,VIRGINIA
USC00445300,"MARTINSVILLE FILTER PLANT, VA US",36.70479,-79.86529,237.7,VIRGINIA
US1VAGV0002,"EMPORIA 11.0 SW, VA US",36.5664417,-77.6552994,72.5,VIRGINIA
USR0000VCRA,"CRAIG VALLEY VIRGINIA, VA US",37.5222,-80.0797,385.9,VIRGINIA
USC00444128,"HOT SPRINGS, VA US",37.99951,-79.83227,684,VIRGINIA
US1VAFX0084,"FAIRFAX 2.8 SSE, VA US",38.81576,-77.28197,106.4,VIRGINIA
US1VAFQ0013,"BROAD RUN 2.8 SSW, VA US",38.784743,-77.730624,197.8,VIRGINIA
US1VAFX0086,"FALLS CHURCH 3.0 SW, VA US",38.84953,-77.20618,104.5,VIRGINIA
US1VAFX0087,"FALLS CHURCH 1.7 S, VA US",38.860295,-77.178218,90.8,VIRGINIA
US1VAFX0080,"ANNANDALE 1.9 W, VA US",38.829399,-77.246788,97.2,VIRGINIA
US1VAFX0081,"ALEXANDRIA 6.6 WNW, VA US",38.826966,-77.16495,86.3,VIRGINIA
US1VAFQ0017,"WARRENTON 2.0 WNW, VA US",38.7301178,-77.82997894,296.9,VIRGINIA
US1VAFX0082,"FALLS CHURCH 1.1 NNW, VA US",38.89849,-77.18511,126.5,VIRGINIA
US1VAFX0083,"ALEXANDRIA 3.9 S, VA US",38.764988,-77.091981,42.4,VIRGINIA
USC00445453,"MEADOWS OF DAN 5 SW, VA US",36.6667,-80.4481,678.2,VIRGINIA
USC00445690,"MONTEBELLO FISH CULTURAL STATION, VA US",37.84449,-79.13014,810.8,VIRGINIA
USC00443272,"GALAX WATER PLANT, VA US",36.65452,-80.91732,713.5,VIRGINIA
US1VAJC0052,"WILLIAMSBURG 2.1 WNW, VA US",37.2807473,-76.7421836,29.9,VIRGINIA
US1VAJC0051,"WILLIAMSBURG 5.5 WSW, VA US",37.24446,-76.80099,7.6,VIRGINIA
US1VAJC0050,"WILLIAMSBURG 3.2 SSE, VA US",37.2267,-76.68893,7,VIRGINIA
US1VAKG0002,"KING GEORGE 6.3 WNW, VA US",38.299842,-77.287936,58.5,VIRGINIA
US1VAFX0090,"ALEXANDRIA 6.9 S, VA US",38.721322,-77.077515,4.3,VIRGINIA
US1VASM0004,"MARION 2.4 ENE, VA US",36.8532,-81.4745,687.3,VIRGINIA
US1VARH0015,"BRIDGEWATER 0.3 SE, VA US",38.38273333,-78.96495,367.6,VIRGINIA
USC00448837,"WALLACETON LAKE DRUMMOND, VA US",36.59503,-76.43903,6.4,VIRGINIA
USC00447506,"SALTVILLE 1 N, VA US",36.8894,-81.7711,528.2,VIRGINIA
US1VARH0011,"MASSANUTTEN 1.3 SE, VA US",38.398,-78.72,432.2,VIRGINIA
US1VAFX0095,"OAKTON 2.0 SW, VA US",38.87634,-77.33155,116.7,VIRGINIA
US1VAAR0011,"ARLINGTON 2.7 W, VA US",38.878691,-77.152628,96.6,VIRGINIA
USC00447985,"SPERRYVILLE, VA US",38.6553,-78.2272,228.6,VIRGINIA
US1VAFQ0001,"WARRENTON 6.1 S, VA US",38.628,-77.808,135.9,VIRGINIA
USC00445204,"MANASSAS, VA US",38.73332,-77.49263,74.7,VIRGINIA
USC00446656,"PETERSBURG, VA US",37.2388,-77.3925,5.8,VIRGINIA
US1VAFQ0004,"REMINGTON 4.0 ENE, VA US",38.5616,-77.7439,96.9,VIRGINIA
US1VAFX0092,"VIENNA 1.2 SSW, VA US",38.884589,-77.270801,110.9,VIRGINIA
USC00446173,"NORTH FORK LAKE, VA US",37.1244,-82.6339,510.5,VIRGINIA
US1VAPL0002,"NEW RIVER 0.3 NNW, VA US",37.1414503,-80.5911933,592.2,VIRGINIA
USR0000VFVA,"FORT VALLEY VIRGINIA, VA US",38.8333,-78.4,243.8,VIRGINIA
USW00013762,"FENTRESS NAVAL AUXILIARY FIELD, VA US",36.700723,-76.129413,3,VIRGINIA
US1VACP0010,"CULPEPER 1.7 NNE, VA US",38.4937,-77.9913,131.4,VIRGINIA
US1VACP0011,"CULPEPER 1.6 NE, VA US",38.489667,-77.982989,126.5,VIRGINIA
USC00441955,"CONCORD 4 SSW, VA US",37.2819,-78.9591,248.4,VIRGINIA
US1VADN0002,"DEWITT 7.1 SE, VA US",36.9824,-77.5356,51.2,VIRGINIA
US1VAPW0009,"GAINESVILLE 1.6 SE, VA US",38.774531,-77.601148,94.2,VIRGINIA
US1VANRC017,"NORFOLK 1.6 NNW, VA US",36.944019,-76.256253,14,VIRGINIA
US1VATZ0004,"TAZEWELL 2.9 WNW, VA US",37.145561,-81.56002,754.4,VIRGINIA
US1VABD0028,"VINTON 9.0 E, VA US",37.29356,-79.72611,335.9,VIRGINIA
US1VAWM0005,"STRATFORD 0.5 NE, VA US",38.148328,-76.840693,48.8,VIRGINIA
US1VABD0024,"VINTON 8.6 ENE, VA US",37.308556,-79.738003,331.6,VIRGINIA
USC00446161,"NORTH, VA US",37.4332,-76.4416,0.9,VIRGINIA
US1VABD0022,"GOODVIEW 3.2 SSE, VA US",37.172114,-79.7008,249.6,VIRGINIA
USW00013773,"QUANTICO MCAS, VA US",38.50362,-77.30503,3,VIRGINIA
US1VAWM0001,"MONTROSS 5.2 ESE, VA US",38.07705,-76.73025,11,VIRGINIA
US1VAPW0013,"MANASSAS 5.3 SE, VA US",38.68443298,-77.42987061,86,VIRGINIA
US1VAPW0010,"WOODBRIDGE 5.9 NW, VA US",38.699141,-77.335467,69.8,VIRGINIA
US1VARCC011,"RICHMOND 1.1 SE, VA US",37.519,-77.4605,45.7,VIRGINIA
US1VAPW0011,"NOKESVILLE 4.0 S, VA US",38.642819,-77.579527,61.9,VIRGINIA
US1VARCC010,"RICHMOND 3.9 NW, VA US",37.576861,-77.517094,71,VIRGINIA
USC00441825,"CLINTWOOD 1 W, VA US",37.14556,-82.49078,477.3,VIRGINIA
USC00440735,"BIG STONE GAP, VA US",36.8567,-82.7998,446.8,VIRGINIA
USW00013769,"OCEANA NAS, VA US",36.81667,-76.03333,7,VIRGINIA
US1VANRC005,"NORFOLK 3.0 S, VA US",36.8797493,-76.24639893,2.7,VIRGINIA
US1VAPW0019,"MANASSAS 2.5 NNW, VA US",38.795827,-77.497598,57,VIRGINIA
US1VANRC003,"NORFOLK 5.0 SSW, VA US",36.86173248,-76.29229736,2.7,VIRGINIA
US1VAPW0014,"MANASSAS 5.8 SE, VA US",38.6804,-77.4206,108.2,VIRGINIA
US1VAPW0015,"HAYMARKET 5.5 N, VA US",38.88988,-77.619309,104.9,VIRGINIA
USC00449301,"WYTHEVILLE, VA US",36.93645,-81.06186,638.6,VIRGINIA
US1VABK0001,"BUCKINGHAM 9.9 NW, VA US",37.6682,-78.6594,155.8,VIRGINIA
US1VABD0016,"LYNCHBURG 1.4 SSW, VA US",37.384016,-79.204355,228.6,VIRGINIA
US1VABD0013,"MONETA 3.9 WSW, VA US",37.165763,-79.685523,267.9,VIRGINIA
US1VAMN0011,"BLACKSBURG 1.6 W, VA US",37.234632,-80.458121,614.2,VIRGINIA
USW00003739,"CAPE CHARLES 5 ENE, VA US",37.2907,-75.927,8.8,VIRGINIA
US1VASC0002,"DUNGANNON 0.3 WNW, VA US",36.82994,-82.47322,412.1,VIRGINIA
US1VABD0019,"LYNCHBURG 1.3 SSW, VA US",37.385113,-79.204536,227.7,VIRGINIA
US1VAMN0009,"BLACKSBURG 5.0 W, VA US",37.224713,-80.518728,575.5,VIRGINIA
USC00442941,"FARMVILLE, VA US",37.28611,-78.40528,117.7,VIRGINIA
US1VASC0001,"GATE CITY 6.2 NNE, VA US",36.72166667,-82.53666667,599.2,VIRGINIA
USC00441614,"CHATHAM, VA US",36.82204,-79.4102,197.2,VIRGINIA
USC00440766,"BLACKSBURG NATIONAL WEATHER SERVICE OFFICE, VA US",37.2039,-80.4144,641,VIRGINIA
US1VARP0008,"SPERRYVILLE 5.5 S, VA US",38.590795,-78.261333,413.9,VIRGINIA
US1VABD0020,"GOODVIEW 1.7 NNE, VA US",37.237315,-79.715767,308.2,VIRGINIA
US1VAMN0004,"CHRISTIANSBURG 1.7 WNW, VA US",37.150191,-80.431343,623,VIRGINIA
USC00448129,"STONY CREEK 2 N, VA US",36.9742,-77.4041,32,VIRGINIA
US1VAMN0006,"BLACKSBURG 0.4 N, VA US",37.2377,-80.4272,638.9,VIRGINIA
US1VAMN0005,"CHRISTIANSBURG 1.1 ESE, VA US",37.135803,-80.384399,655,VIRGINIA
USC00449215,"WISE 1 SE, VA US",36.9725,-82.5579,781.5,VIRGINIA
USC00447278,"ROANOKE 8 N, VA US",37.3622,-79.95871,352.7,VIRGINIA
USC00449213,"WINTERPOCK, VA US",37.32459,-77.64364,97.5,VIRGINIA
US1VABD0007,"MONETA 3.6 SW, VA US",37.15542,-79.675321,261.5,VIRGINIA
USC00445096,"LURAY 5 E, VA US",38.6661,-78.3727,426.7,VIRGINIA
