STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,STATE
USS0045L01S,"MOUNT EYAK, AK US",60.55,-145.75,428.2,ALASKA
USS0047O01S,"MONAHAN FLAT, AK US",63.31,-147.65,826,ALASKA
USC00503695,"HOONAH, AK US",58.1071,-135.4277,39.6,ALASKA
US1AKFN0044,"FOX 3.8 SW, AK US",64.917251,-147.702977,379.5,ALASKA
USS0053L01S,"TELAQUANA LAKE, AK US",60.98,-153.92,388.6,ALASKA
USW00026562,"PORT ALSWORTH 1 SW, AK US",60.1951,-154.3196,97.8,ALASKA
USW00026563,"KENAI 29 ENE, AK US",60.7237,-150.4484,86,ALASKA
US1AKAB0038,"EAGLE RIVER 7.8 SE, AK US",61.22724,-149.44008,657.1,ALASKA
USR0000ASTO,"STONEY ALASKA, AK US",61.0008,-153.8958,381,ALASKA
USC00504899,"KLAWOCK WATER PLANT, AK US",55.55158,-133.06469,26.8,ALASKA
USR0000ASTU,"STUART CREEK ALASKA, AK US",64.7189,-146.5044,470.3,ALASKA
USW00026564,"IVOTUK 1 NNE, AK US",68.4851,-155.7506,581.9,ALASKA
USW00026565,"DEADHORSE 3 S, AK US",70.1618,-148.4644,9.1,ALASKA
US1AKAB0052,"ANCHORAGE 4.7 SSW, AK US",61.1529,-149.9346,35.4,ALASKA
US1AKAB0051,"ANCHORAGE 4.5 E, AK US",61.21302478,-149.7648787,68.3,ALASKA
USR0000AZAR,"ZAREMBO ALASKA, AK US",56.3,-132.8486,335.3,ALASKA
US1AKAB0055,"ANCHORAGE 7.6 SSE, AK US",61.111287,-149.845998,67.1,ALASKA
USC00502352,"DELTA JUNCTION 20 SE, AK US",63.9647,-145.105,342.9,ALASKA
USR0000AJAT,"JATAHMUND LAKE ALASKA, AK US",62.6,-142.0833,701,ALASKA
USR0000ABRO,"BROADVIEW ALASKA, AK US",60.4833,-149.7667,190.5,ALASKA
USR0000AJAR,"JARVIS CREEK ALASKA, AK US",63.9486,-145.6189,434.6,ALASKA
USW00026438,"SEWARD AIRPORT, AK US",60.12927,-149.41849,4.1,ALASKA
USW00027406,"DEADHORSE, AK US",70.19146,-148.48005,17.7,ALASKA
USC00505733,"MATANUSKA EXPERIMENTAL FARM, AK US",61.5663,-149.2541,52.4,ALASKA
USC00505854,"METLAKATLA POWER, AK US",55.08563,-131.59008,17.1,ALASKA
USW00026435,"NENANA MUNICIPAL AIRPORT, AK US",64.54725,-149.08713,110.1,ALASKA
USC00502227,"CRAIG, AK US",55.4772,-133.1408,13.1,ALASKA
USW00027401,"BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US",70.13389,-143.57694,14.9,ALASKA
USC00502107,"COLLEGE OBSERVATORY, AK US",64.8603,-147.8484,182,ALASKA
USR0000ANIN,"NINILCHIK ALASKA, AK US",60.0433,-151.6655,39.6,ALASKA
USS0050R04S,"GOBBLERS KNOB, AK US",66.75,-150.67,618.7,ALASKA
US1AKAB0062,"ANCHORAGE 8.3 SSE, AK US",61.11375,-149.77678,206,ALASKA
USS0050S01S,"COLDFOOT, AK US",67.25,-150.18,317,ALASKA
US1AKAB0060,"ANCHORAGE 2.1 SSW, AK US",61.188792,-149.915314,27.1,ALASKA
US1AKAB0065,"ANCHORAGE 5.1 SSW, AK US",61.150232,-149.959323,27.7,ALASKA
US1AKAB0064,"CHUGIAK 2.4 NE, AK US",61.418534,-149.44951,102.7,ALASKA
USC00505894,"MOOSE PASS 3 NW, AK US",60.5029,-149.4261,150,ALASKA
USR0000ASWA,"SWANSON RIVER ALASKA, AK US",60.7278,-150.8722,85.3,ALASKA
USR0000ABUU,"BUCKLAND UPLANDS ALASKA, AK US",65.9081,-160.8742,121.9,ALASKA
US1AKPW0009,"THORNE BAY 0.6 S, AK US",55.68,-132.518,22.9,ALASKA
USR0000AASI,"ASIK ALASKA, AK US",67.475,-162.2664,405.1,ALASKA
US1AKPW0001,"EDNA BAY 1.3 E, AK US",55.955264,-133.61775,,ALASKA
USC00505645,"MANLEY HOT SPRINGS 15 NE, AK US",65.1225,-150.2277,152.7,ALASKA
USC00505527,"LITTLE SUSITNA NR PALMER, AK US",61.7102,-149.2316,274.9,ALASKA
USW00025379,"SITKA 1 NE, AK US",57.0574,-135.3266,23.8,ALASKA
US1AKAB0073,"GIRDWOOD 1.2 E, AK US",60.954071,-149.1267211,67.7,ALASKA
USC00505881,"MINCHUMINA, AK US",63.9033,-152.2816,312.4,ALASKA
US1AKAB0076,"EAGLE RIVER 5.9 ESE, AK US",61.29385,-149.40675,267.3,ALASKA
US1AKFN0038,"FAIRBANKS 18.4 WNW, AK US",64.9509,-148.2157,420.3,ALASKA
USC00505884,"MONASHKA CREEK DAM, AK US",57.8426,-152.4585,39.6,ALASKA
US1AKFN0039,"ANAKTUVUK PASS 63.8 NE, AK US",68.626617,-149.59452,731.5,ALASKA
US1AKFN0032,"FAIRBANKS 6.3 W, AK US",64.839853,-147.863861,138.7,ALASKA
US1AKFN0035,"FAIRBANKS 18.9 WNW, AK US",64.92429,-148.258627,498,ALASKA
US1AKFN0031,"FAIRBANKS 7.2 NNE, AK US",64.9314,-147.5411,457.8,ALASKA
USC00505519,"LITTLE PORT WALTER, AK US",56.383,-134.6497,4.3,ALASKA
USS0046M04S,"SUGARLOAF MOUNTAIN, AK US",61.08,-146.3,167.6,ALASKA
USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",61.16916,-150.02771,38,ALASKA
US1AKPW0011,"METLAKATLA 0.5 SSE, AK US",55.11823,-131.57613,35.4,ALASKA
USC00503212,"GALENA, AK US",64.7408,-156.8755,46.3,ALASKA
US1AKPW0013,"METLAKATLA 5.4 S, AK US",55.046351,-131.585692,32,ALASKA
USR0000APOO,"POORMAN ALASKA, AK US",64.105,-155.5583,285,ALASKA
USW00025367,"KLAWOCK AIRPORT, AK US",55.58191,-133.07468,20.8,ALASKA
USR0000AKEL,"KELLY ALASKA, AK US",67.9333,-162.3,125.6,ALASKA
USR0000AKEN,"KENAI NWR ALASKA, AK US",60.5917,-150.3167,121.9,ALASKA
USR0000ABOX,"BOX RIVER ALASKA, AK US",65.2989,-158.9053,350.5,ALASKA
USC00503368,"GOLDSTREAM CREEK, AK US",64.8938,-147.8753,175.9,ALASKA
USS0063P02S,"PARGON CREEK, AK US",64.99,-163.1,30.5,ALASKA
USC00506870,"PALMER JOB CORPS, AK US",61.5888,-149.0992,65.8,ALASKA
USR0000ABNT,"BENTALIT ALASKA, AK US",61.9358,-150.9858,45.7,ALASKA
USR0000AMCK,"MCKINLEY RIVER ALASKA, AK US",63.6492,-151.6397,256,ALASKA
USW00025381,"METLAKATLA 6 S, AK US",55.0455,-131.5877,32,ALASKA
USW00025382,"YAKUTAT 3 SSE, AK US",59.5087,-139.685,7.9,ALASKA
USW00025380,"GUSTAVUS 2 NE, AK US",58.4292,-135.69,6.1,ALASKA
USS0063P01S,"ROCKY POINT, AK US",64.53,-163.42,76.2,ALASKA
USC00505778,"MCKINLEY PARK, AK US",63.7175,-148.9692,630.9,ALASKA
USR0000AVUN,"VUNZIK LAKE ALASKA, AK US",66.7981,-146.7158,160,ALASKA
USW00096409,"TOOLIK LAKE 5 ENE, AK US",68.6483,-149.3986,750.1,ALASKA
USW00096408,"DENALI 27 N, AK US",63.452,-150.8747,678.2,ALASKA
USC00503275,"GILMORE CREEK, AK US",64.9766,-147.5211,288,ALASKA
USR0000ADUN,"DUNKLE HILLS ALASKA, AK US",63.2675,-149.5392,868.7,ALASKA
USW00096405,"CORDOVA 14 ESE, AK US",60.4731,-145.3542,25.3,ALASKA
USW00096404,"TOK 70 SE, AK US",62.737,-141.2083,609.6,ALASKA
USW00096407,"SELAWIK 28 E, AK US",66.562,-159.0036,6.7,ALASKA
USW00096406,"RUBY 44 ESE, AK US",64.5015,-154.1297,78.9,ALASKA
