STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,STATE
US1VARN0029,"ROANOKE 5.1 SSW, VA US",37.209334,-79.988745,395.9,VIRGINIA
US1VAAR0008,"ARLINGTON 0.3 E, VA US",38.879093,-77.096732,82,VIRGINIA
US1VARN0028,"ROANOKE 5.4 NE, VA US",37.3267644,-79.8802709,359.7,VIRGINIA
US1VAPC0009,"PRINCE GEORGE 3.2 ENE, VA US",37.24284,-77.23284,37.8,VIRGINIA
US1VAPC0005,"DISPUTANTA 6.3 NE, VA US",37.1926,-77.1491,36.6,VIRGINIA
US1VALD0029,"LEESBURG 1.7 NNE, VA US",39.12896,-77.54906,98.1,VIRGINIA
US1VALD0026,"LEESBURG 2.6 E, VA US",39.098295,-77.508684,82,VIRGINIA
US1VARN0032,"SALEM 2.0 WSW, VA US",37.27977,-80.090858,347.8,VIRGINIA
US1VAFX0063,"ALEXANDRIA 5.6 SSW, VA US",38.731065,-77.088951,14.9,VIRGINIA
US1VAWR0002,"FRONT ROYAL 3.1 ESE, VA US",38.90937042,-78.12980652,302.1,VIRGINIA
US1VAFX0064,"FALLS CHURCH 1.6 W, VA US",38.8875,-77.2041,141.4,VIRGINIA
USC00444148,"HUDDLESTON 4 SW, VA US",37.12587,-79.5251,273.4,VIRGINIA
USC00445595,"MILL GAP, VA US",38.30641,-79.71994,736.4,VIRGINIA
US1VAFX0060,"OAKTON 0.4 E, VA US",38.892197,-77.293236,113.7,VIRGINIA
US1VAFX0061,"VIENNA 0.8 S, VA US",38.88855743,-77.26288605,121.3,VIRGINIA
US1VASS0001,"WAKEFIELD 0.1 ENE, VA US",36.969528,-76.986457,33.8,VIRGINIA
US1VAFX0078,"BURKE 1.4 NNE, VA US",38.79729843,-77.25867462,89.6,VIRGINIA
US1VALD0017,"LEESBURG 4.4 W, VA US",39.09416667,-77.63722222,167.6,VIRGINIA
US1VALD0013,"ROUND HILL 2.7 WSW, VA US",39.122277,-77.818714,212.1,VIRGINIA
USC00448737,"VIENNA, VA US",38.89205,-77.28913,118.9,VIRGINIA
US1VAFX0076,"RESTON 1.8 N, VA US",38.978422,-77.346219,135.6,VIRGINIA
US1VARN0006,"ROANOKE 7.3 SSW, VA US",37.183605,-80.0169,449.9,VIRGINIA
US1VARDC001,"RADFORD 0.9 WNW, VA US",37.130633,-80.572004,574.9,VIRGINIA
USC00446593,"PEDLAR DAM, VA US",37.6694,-79.2774,312.1,VIRGINIA
US1VAAC0007,"ONLEY 0.6 SE, VA US",37.684664,-75.710285,13.1,VIRGINIA
US1VAMX0012,"LOCUST HILL 1.0 NE, VA US",37.608782,-76.497833,6.4,VIRGINIA
US1VAAC0008,"GREENBACKVILLE 0.4 WNW, VA US",38.0130771,-75.3977562,0.6,VIRGINIA
US1VAMX0011,"LOCUST HILL 1.0 NE, VA US",37.6095713,-76.4984408,8.5,VIRGINIA
US1VAGN0005,"RUCKERSVILLE 4.1 ENE, VA US",38.2566,-78.3035,180.4,VIRGINIA
US1VAGN0006,"RUCKERSVILLE 1.0 WNW, VA US",38.233875,-78.38697,191.4,VIRGINIA
US1VAFX0040,"VIENNA 3.3 N, VA US",38.94747,-77.26375,109.4,VIRGINIA
US1VAFX0041,"MCLEAN 2.3 SE, VA US",38.91802,-77.1434,83.2,VIRGINIA
US1VARN0017,"SALEM 3.4 WNW, VA US",37.29759,-80.11758,388,VIRGINIA
US1VAPC0010,"PRINCE GEORGE 0.5 NNW, VA US",37.22923,-77.28918,44.2,VIRGINIA
US1VAPC0011,"SOUTH PRINCE GEORGE 6.8 S, VA US",37.055708,-77.3682288,48.8,VIRGINIA
